transaction_id,date,amount_raw,amount,operation_raw,operation_type,direction,details,Мерчант,user_id,category
0,2026-05-30,"-10,346.78 ₸",10346.78,KZT,purchase,credit,Сумма в обработке,OPENAI CHATGPT SUBSCR 14158799686 US,user_665,Красота
1,2026-05-30,"-2,670.00 ₸",2670.0,KZT,purchase,credit,Сумма в обработке,GASTRONOMIYA ALMATY KZ,user_809,Спорт
2,2026-05-29,"-1,730.00 ₸",1730.0,KZT,purchase,credit,Сумма в обработке,UBER ALMATY KZ,user_304,Спорт
3,2026-05-29,"-2,290.00 ₸",2290.0,KZT,purchase,credit,Сумма в обработке,UBER ALMATY KZ,user_777,Связь
4,2026-05-29,"-1,850.00 ₸",1850.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 1850 KZT,user_777,Продукты
5,2026-05-29,"+500,000.00 ₸",500000.0,KZT,purchase,credit,Пополнение,"Поступление от Товарищество с ограниченной ответственностью ""Freedom Holding Operations"" БИН 240340008470 ПП №106 от 29.05.2026. Для зачисления на картсчета сотрудникам согласно спи ск",user_471,Кредиты
6,2026-05-29,"-1,180.00 ₸",1180.0,KZT,purchase,credit,Сумма в обработке,IP KRISTINA ALMATY KZ,user_665,Транспорт
7,2026-05-29,"-2,900.00 ₸",2900.0,KZT,purchase,credit,Сумма в обработке,UBER ALMATY KZ,user_560,Образование
8,2026-05-28,"-3,160.00 ₸",3160.0,KZT,purchase,credit,Покупка,EUROPHARMA 323 PHARMACY ALMATY KZ,user_665,Подписки
9,2026-05-28,"-11,199.00 ₸",11199.0,KZT,purchase,credit,Сумма в обработке,YANDEX.EDA ALMATY KZ,user_347,Рестораны
10,2026-05-28,"-6,990.00 ₸",6990.0,KZT,purchase,credit,Покупка,APPLE.COM BILL ITUNES.COM IE,user_521,Аренда
11,2026-05-27,"-3,980.00 ₸",3980.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_809,Кредиты
12,2026-05-27,"-2,550.00 ₸",2550.0,KZT,purchase,credit,Покупка,KFC 12773 ALMATY KZ,user_809,Подарки
13,2026-05-27,"-27,543.00 ₸",27543.0,KZT,purchase,credit,Покупка,ZOLOTOE YABLOKO SHOP ALMATY KZ,user_665,Медицина
14,2026-05-26,"-7,000.00 ₸",7000.0,KZT,purchase,credit,Перевод,Безвозмездный перевод,user_777,Электроника
15,2026-05-26,"+68,850.00 ₸",68850.0,KZT,purchase,credit,Пополнение,Заработная плата. Сумма на руки за период май 2026 г.,user_777,Транспорт
16,2026-05-24,-780.00 ₸,780.0,KZT,purchase,credit,Покупка,CU MINIMARKET ALMATY KZ,user_560,Подписки
17,2026-05-24,"-2,490.00 ₸",2490.0,KZT,purchase,credit,Покупка,SPECTRE COFFEE ALMATY KZ,user_347,Подписки
18,2026-05-22,"+2,883.19 ₸",2883.19,KZT,purchase,credit,Пополнение,Между своими счетами,user_809,Красота
19,2026-05-21,-150.00 ₸,150.0,KZT,purchase,credit,Покупка,EUROPHARMA 323 PHARMACY ALMATY KZ,user_560,Связь
20,2026-05-20,-414.00 ₸,414.0,KZT,purchase,credit,Перевод,Оплата за ПКО,user_777,Страхование
21,2026-05-20,+414.00 ₸,414.0,KZT,purchase,credit,Пополнение,Перевод вклада по Договору №KZ74551T600064346KZT от 20.05.2026. Вкладчик: Сулейменова Д.Т.,user_560,Такси
22,2026-05-20,-104.00 ₸,104.0,KZT,purchase,credit,Перевод,Оплата за ПКР,user_521,Дети
23,2026-05-20,+104.00 ₸,104.0,KZT,purchase,credit,Пополнение,Перевод вклада по Договору №KZ74551T600064346KZT от 20.05.2026. Вкладчик: Сулейменова Д.Т.,user_777,Рестораны
24,2026-05-20,"-2,980.00 ₸",2980.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 2980 KZT,user_379,Путешествия
25,2026-05-20,"-1,880.00 ₸",1880.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_347,Авто
26,2026-05-20,+490.00 ₸,490.0,KZT,purchase,credit,Покупка,Возврат. Отмена покупки,user_304,Штрафы
27,2026-05-20,-490.00 ₸,490.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_809,Такси
28,2026-05-20,"-3,000.00 ₸",3000.0,KZT,purchase,credit,Покупка,Izi Almaty KZ,user_471,Спорт
29,2026-05-19,"-3,005.00 ₸",3005.0,KZT,purchase,credit,Покупка,CU MINIMARKET ALMATY KZ,user_521,Дети
30,2026-05-19,"-2,650.00 ₸",2650.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 72002160 на сумму 2650 KZT,user_966,Спорт
31,2026-05-19,"-2,600.00 ₸",2600.0,KZT,purchase,credit,Перевод,Лян Ирина Эдуардовна Безвозмездный перевод,user_304,Спорт
32,2026-05-19,"-1,180.00 ₸",1180.0,KZT,purchase,credit,Платеж,Возмещение за QR оплату через POS 70012957 на сумму 1180 KZT,user_471,Электроника
33,2026-05-19,"-2,080.00 ₸",2080.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_777,Питомцы
34,2026-05-19,-450.00 ₸,450.0,KZT,purchase,credit,Покупка,APPLE.COM BILL ITUNES.COM IE,user_966,Подписки
35,2026-05-18,+648.00 ₸,648.0,KZT,purchase,credit,Пополнение,Пополнение. Возврат денег за заказ 5618689 Arbuz,user_665,Подарки
36,2026-05-18,-648.00 ₸,648.0,KZT,purchase,credit,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" Возврат денег за заказ 5618689 Arbuz",user_665,Путешествия
37,2026-05-18,"-16,558.00 ₸",16558.0,KZT,purchase,credit,Платеж,"ТОО ""Arbuz Group (Арбуз Груп)"" За оплату билета/услугу/продукты /товар заказ 5618689 Arbuz",user_521,Продукты
38,2026-05-18,"-5,393.00 ₸",5393.0,KZT,purchase,credit,Покупка,SAMA LEPILA SHOP ALMATY KZ,user_665,Рестораны
39,2026-05-18,"-2,320.00 ₸",2320.0,KZT,purchase,credit,Покупка,UBER ALMATY KZ,user_966,Коммуналка
40,2026-05-18,"+44,800.00 ₸",44800.0,KZT,purchase,credit,Пополнение,Перевод с карты на карту,user_966,Транспорт
41,2026-05-13,-400.00 ₸,400.0,KZT,purchase,credit,Перевод,Перевод с карты на карту,user_347,Питомцы
42,2026-05-12,-820.00 ₸,820.0,KZT,purchase,credit,Покупка,GASTRONOMIYA ALMATY KZ,user_304,Питомцы
43,2026-05-12,"-1,495.00 ₸",1495.0,KZT,purchase,credit,Покупка,TRAVELERS COFFEE ALMATY KZ,user_809,Подписки
